CODIGO_BECA;AGNO_FALLO;TIPO_INSTRUMENTO;PALABRAS_CLAVE
81180321;2018;ASISTENCIA A EVENTOS;"QUIMICA ORGANICA  ; QUIMICA DE PRODUCTOS NATURALES ORGANICOS ; FARMACOLOGIA  ; FARMACOGNOSIA ; FARMACOLOGIA  ; FITOFARMACOS"
81180326;2018;ASISTENCIA A EVENTOS;PSICOLOGIA CLINICA, PSICOPATOLOGIA, SALUD MENTAL Y PSICOTERAPIA
81180330;2018;ASISTENCIA A EVENTOS;"MICROBIOLOGIA  ; BACTERIOLOGIA ; BIOLOGIA MOLECULAR  ; GENOMICA"
81180334;2018;ASISTENCIA A EVENTOS;"NEUROCIENCIAS ; NEUROFISIOLOGIA"
81180343;2018;ASISTENCIA A EVENTOS;"CIENCIAS CLINICAS ; OTRAS"
81180345;2018;ASISTENCIA A EVENTOS;"INMUNOLOGIA  ; ANTICUERPOS"
81180348;2018;ASISTENCIA A EVENTOS;"QUIMICA AMBIENTAL ; QUIMICA INORGANICA  ; QUIMICA DEL AGUA  ; CIENCIAS AMBIENTALES ; CONTAMINACION DEL SUELO"
81180349;2018;ASISTENCIA A EVENTOS;"BIOLOGIA MOLECULAR  ; GENOMICA"
81180350;2018;ASISTENCIA A EVENTOS;"QUIMICA FISICA  ; QUIMICA FISICA "
81180352;2018;ASISTENCIA A EVENTOS;"BIOQUIMICA  ; BIOQUIMICA "
81180353;2018;ASISTENCIA A EVENTOS;"BIOLOGIA HUMANA  ; DESARROLLO HUMANO ; FISIOLOGIA HUMANA  ; FISIOLOGIA DE LA REPRODUCCION"
81180359;2018;ASISTENCIA A EVENTOS;"NEUROCIENCIAS ; NEUROFISIOLOGIA"
81180362;2018;ASISTENCIA A EVENTOS;"ARQUEOLOGIA ; ARQUEOLOGIA PREHISTORICA ; ARQUEOLOGIA  AREAS Y TEMATICAS ; AREA CENTRO SUR ANDINA ; ARQUEOLOGIA  AREAS Y TEMATICAS ; ARTE RUPESTRE"
81180364;2018;ASISTENCIA A EVENTOS;"HISTORIA POR ESPECIALIDADES ; HISTORIA DEL DERECHO Y DE LAS INSTITUCIONES"
81180366;2018;ASISTENCIA A EVENTOS;"OPTICA  ; PROPIEDADES OPTICAS DE LOS SOLIDOS  ; FISICA DEL ESTADO SOLIDO  ; MATERIALES COMPUESTOS ; FISICA DEL ESTADO SOLIDO  ; SEMICONDUCTORES "
81180371;2018;ASISTENCIA A EVENTOS;"TEORIA, ANALISIS Y CRITICA LITERARIAS ; ANALISIS LITERARIO ; TEORIA, ANALISIS Y CRITICA DE LAS BELLAS ARTES ; CINEMATOGRAFIA  ; CIENCIAS DE LA COMUNICACION ; ESTUDIOS AUDIOVISUALES"
81180372;2018;ASISTENCIA A EVENTOS;"CIENCIAS CLINICAS ; GINECOLOGIA ; CIENCIAS CLINICAS ; OBSTETRICIA"
81180376;2018;ASISTENCIA A EVENTOS;"BIOQUIMICA  ; BIOQUIMICA  ; BIOLOGIA MOLECULAR  ; EXPRESION GENETICA"
81180381;2018;ASISTENCIA A EVENTOS;"PSICOLOGIA E/N/PF/PB/PBB ; ACTIVIDAD CEREBRAL ; PSICOLOGIA E/N/PF/PB/PBB ; NEUROCIENCIAS COGNITIVAS"
81180383;2018;ASISTENCIA A EVENTOS;"NEUROCIENCIAS ; NEUROQUIMICA"
81180387;2018;ASISTENCIA A EVENTOS;"BIOLOGIA CELULAR ; MORFOLOGIA CELULAR ; BIOLOGIA MOLECULAR  ; EXPRESION GENETICA"
81180388;2018;ASISTENCIA A EVENTOS;"NEUROCIENCIAS ; NEUROFISIOLOGIA"
81180389;2018;ASISTENCIA A EVENTOS;"FARMACODINAMICA ; MECANISMOS DE ACCION DE LOS MEDICAMENTOS  ; FARMACOLOGIA  ; EVALUACION DE MEDICAMENTOS"
81180391;2018;ASISTENCIA A EVENTOS;"QUIMICA INORGANICA  ; ESTRUCTURA DE LOS COMPUESTOS INORGANICOS"
81180393;2018;ASISTENCIA A EVENTOS;"GEOGRAFIA HUMANA  ; GEOGRAFIA POLITICA ; SOCIOLOGIA DEL TRABAJO ; SOCIOLOGIA INDUSTRIAL"
81180398;2018;ASISTENCIA A EVENTOS;"BIOLOGIA MOLECULAR  ; EXPRESION GENETICA ; PATOLOGIA ; PATOLOGIA EXPERIMENTAL"
81180408;2018;ASISTENCIA A EVENTOS;"LINGÜISTICA SINCRONICA ; PSICOLINGÜISTICA "
81180411;2018;ASISTENCIA A EVENTOS;"BIOLOGIA MOLECULAR  ; EXPRESION GENETICA ; MEDICINA INTERNA ; NEFROLOGIA ; PATOLOGIA ; PATOLOGIA EXPERIMENTAL"
