PROGRAMA;CONCURSO;FOLIO;PALABRAS_CLAVES
FONDECYT;FONDECYT de Postdoctorado 2019;3190786;"BIOMAGNIFICACIÓN;METALES PESADOS;ANÁLISIS ISOTOPICO"
FONDECYT;FONDECYT Regular 2018;1180742;"BIOMARKERS;SAMPLE PREPARATION OF BIOLOGICAL SAMPLES;CHROMATOGRAPHY COUPLED TO MASS SPECTROMETRY"
FONDECYT;FONDECYT de Iniciación 2016;11161045;"BIOMASS COMBUSTION;SOOT PRODUCTION;RADIATIVE HEAT TRANSFER"
FONDECYT;FONDECYT Regular 2016;1161660;"BIOMASS VALORIZATION;HETEROGENEOUS CATALYSIS;HMF CONVERSION"
FONDECYT;FONDECYT Regular 2017;1171308;"BIOMASS;HYDROFORMYLATION;TRANSFER HYDROFORMYLATION"
FONDECYT;FONDECYT de Iniciación 2016;11160230;"BIOMATERIALS;BACTERIAL ADHESION;TOPOGRAPHY"
FONDECYT;FONDECYT Regular 2016;1161444;"BIOMATERIALS;POWDER METALLURGY;TI ALLOYS"
FONDECYT;FONDECYT Regular 2020;1201013;"BIO-MECHANICS,  NANO MECHANICS, SINGLE MOLECULE ASSAYS;ATOMIC FORCE SPECTROSCOPY;PHYSICAL STRATEGIES OF BACTERIAL ADHESION"
FONDECYT;FONDECYT de Iniciación 2017;11170475;"BIOMEDICAL IMAGE PROCESSING;HIGH-THROUGHPUT FLUORESCENCE MICROSCOPY  ;HIGH PERFORMANCE COMPUTING"
FONDECYT;FONDECYT Regular 2020;1201543;"BIOMEDICAL IMPLANTS;INDUCTIVE LINKS;ENERGY EFFICIENCY"
FONDECYT;FONDECYT Regular 2020;1201311;"BIOMEDICAL ULTRASOUND;MODEL BASED AND AUTOMATIC (MACHINE LEARNING) SIGNAL PROCESSING;CLINICAL MEASUREMENT OF CORTICAL BONE"
FONDECYT;FONDECYT Regular 2016;1161034;"BIOMETRIC PATTERN RECOGNITION;FACE RECOGNTION;IRIS RECOGNTION"
FONDECYT;FONDECYT de Iniciación 2017;11170189;"BIOMETRICS;GENDER CLASSIFICATION;IRIS RECOGNITION"
FONDECYT;FONDECYT Regular 2019;1191610;"BIOMETRICS;IRIS MODELING;FACE MATCHING"
FONDECYT;FONDECYT Regular 2019;1191816;"BIOMETRICS;MODELLING;FOREST ECOSYSTEM"
FONDECYT;FONDECYT de Postdoctorado 2017;3170784;"BIOMOLÉCULAS;INMUNOSENSOR;BIOCATALSIS"
FONDECYT;FONDECYT de Postdoctorado 2019;3190756;"BIOPELÍCULA BACTERIANA;CORROSIÓN;AMINOÁCIDOS"
FONDECYT;FONDECYT de Iniciación 2016;11160509;"BIOPESTICIDE;TOMATO;PATHOGENS"
FONDEF;IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA FONDEF 2015;IT15I10073;BIOPINTURAS/BIOTECNOLOGÍA ACUÍCOLA/ANTIFOULING
FONDECYT;FONDECYT de Postdoctorado 2020;3200467;"BIO-PLASTIC, POLYETHYLENE FURANDICARBOXYLATE (PEF), 5-HYDROXYMETHYLFURFURAL (HMF), FORESTAL BIOMASS;FURAN 2,5-DICARBOXYLIC ACID (FDCA), NICKEL OXIDE, COBALT OXIDE, NANOCOMPOSITES, CATALYSIS, OXIDATION;POLYMERIZATION, NIOX, COOX, BUILDING BLOCKS, LIGNOCELULLOSE, VALORIZATION, CIRCULAR ECONOMY"
FONDECYT;FONDECYT Regular 2017;1170940;"BIOPOLÍTICA MOLECULAR;MARCADORES BIOLÓGICOS;GUBERNAMENTALIDAD"
FONDECYT;FONDECYT de Iniciación 2017;11170939;"BIOPOLÍTICA;NORMALIZACIÓN ;DESASTRE NATURAL"
FONDECYT;FONDECYT de Iniciación en Investigación 2020;11201239;"BIOPOLÍTICAS LATINOAMERICANAS;GUBERNAMENTALIDAD NEOLIBERAL;CONSENTIMIENTO POLÍTICO"
FONDECYT;FONDECYT de Iniciación en Investigación 2019;11190727;"BIOPOLYMER STABILIZED CERIUM OXIDE NANOPARTICLES;METAL NANOCOMPOSITE HYDROGELS;ANTIMICROBIAL AND PHOTOCATALYTIC APPLICATION"
FONDECYT;FONDECYT de Postdoctorado 2017;3170272;"BIOPOLYMERS;METAL NANOPARTICLES;HYDROGELS"
FONDECYT;FONDECYT Regular 2019;1190664;"BIOPRECIPITATION;TAILINGS;SUSTAINABILITY"
FONDECYT;FONDECYT Regular 2017;1171442;"BIOPROSPECTION;PLANT ABIOTIC STRESS;BACTERIAL METABOLITES"
FONDECYT;FONDECYT Regular 2016;1161481;"BIOPURIFICATION ;PESTICIDES;BIODEGRADATION"
FONDECYT;FONDECYT de Postdoctorado 2018;3180297;"BIORREMEDIACIÓN ;LIXIVIADO DE VERTEDERO;REACTOR BIOELECTROQUÍMICO"
FONDEF;SEXTO CONCURSO VALORIZACIÓN DE LA INVESTIGACIÓN EN LA UNIVERSIDAD 2016;VIU16P0084;"BIORREMEDIACION;ANTIBIOTICOS;ENZIMAS "
FONDECYT;FONDECYT de Postdoctorado 2017;3170872;"BIOSENSOR ELECTROQUÍMICO;MATERIAL DE CARBONO;SISTEMA ANFITRIÓN-HUÉSPED"
FONDEF;III CONCURSO IDeA EN DOS ETAPAS 2016;ID16I10221;BIOSENSOR/OPTOELECTRÓNICA/INOCUIDAD ALIMENTARIA
FONDECYT;FONDECYT Regular 2020;1200870;"BIOSÍNTESIS DE NANOMATERIALES;MECANISMO DE TOLERANCIA A LI, CU Y CD;PROTEIN NANOPARTICLE INTERACTION"
FONDECYT;FONDECYT de Iniciación 2017;11170616;"BIOSORPTION;MACROALGAE;MINING WASTE"
FONDECYT;FONDECYT de Postdoctorado 2019;3190918;"BIOSURFACTANTES ;BACTERIAS ;CLORPIRIFOS "
PCI;ATRACCIÓN DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADÍAS CORTAS (MEC). CONVOCATORIA 2019;MEC80190057;"BIOTECNOLOGÍA AMBIENTAL;RECURSOS HIDRICOS;PLAGUICIDAS"
PCI;ATRACCIÓN DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADÍAS CORTAS (MEC) . CONVOCATORIA 2017;MEC80170099;"BIOTECNOLOGÍA;ACUICULTURA;PECES MARINOS"
FONDECYT;FONDECYT Regular 2020;1201950;"BIOTIC AND ABIOTIC ELICITORS;FUNCTIONAL AGRO-FOOD;MICRO/NANOFORMULATION OF PLANT EXTRACTS"
FONDECYT;FONDECYT Regular 2018;1181040;"BIOTRICKLING FILTERS;ODOUR NUISANCE;INDUSTRIAL GASEOUS EMISSIONS"
FONDECYT;FONDECYT Regular 2018;1181365;"BIPOLAR DISORDER;CARDIOVASCULAR DISEASE;CALCIUM CHANNELS"
FONDECYT;FONDECYT de Iniciación en Investigación 2019;11190828;"BISTABLE PHENOMENA;PERCEPTUAL AWARENESS;COGNITIVE FLEXIBILITY"
FONDECYT;FONDECYT Regular 2019;1191337;"BITCOIN PROTOCOL;BLOCKCHAIN;ALGORITHMIC GAME THEORY"
FONDECYT;FONDECYT de Iniciación en Investigación 2020;11201098;"BIVALVE AQUACULTURE;UPWELLING;CLIMATE CHANGE"
FONDECYT;FONDECYT Regular 2019;1190203;"BK CHANNELS GATING CURRENTS;ALLOSTERIC MODELS, MOLECULAR MODELING ;CALCIUM-BINDING SITES"
FONDECYT;FONDECYT Regular 2019;1190533;"BLACK HOLE THERMODYNAMICS;HIGHER-DIMENSIONAL GRAVITY;GAUGE/GRAVITY DUALITY"
FONDECYT;FONDECYT Regular 2016;1160999;"BLACK HOLE;GALAXIES;EVOLUTION"
FONDECYT;FONDECYT Regular 2020;1200986;"BLACK HOLE;GAUGE/GRAVITY DUALITIES;ATTRACTOR MECHANISM"
FONDECYT;FONDECYT de Postdoctorado 2018;3180185;"BLACK HOLES, HAIRY BLACK HOLES, NO HAIR THEOREM;GAUGE/GRAVITY DUALITIES, ADS/CFT DUALITIES, CONFORMAL FIELD THEORY;SPACES-TIME DS AND ADS"
FONDECYT;FONDECYT Regular 2020;1201208;"BLACK HOLES;EXACT SOLUTIONS;GRAVITATIONAL THEORIES"
